variant,reason,reason_hits
baseline_current,base_confirms_lt_min,3805
baseline_current,missing_reentry,3635
baseline_current,volume_blocked,0
variant_no_warmup,base_confirms_lt_min,3545
variant_no_warmup,missing_reentry,3381
variant_no_warmup,volume_blocked,0
variant_early_failure_global,base_confirms_lt_min,3805
variant_early_failure_global,missing_reentry,3635
variant_early_failure_global,volume_blocked,0
variant_early_failure_targeted,base_confirms_lt_min,3805
variant_early_failure_targeted,missing_reentry,3635
variant_early_failure_targeted,volume_blocked,0
variant_bad_width_bucket_filter,base_confirms_lt_min,3152
variant_bad_width_bucket_filter,missing_reentry,3018
variant_bad_width_bucket_filter,volume_blocked,0
variant_bad_width_bucket_repair,base_confirms_lt_min,3805
variant_bad_width_bucket_repair,missing_reentry,3635
variant_bad_width_bucket_repair,volume_blocked,0
variant_combo_best_effort,base_confirms_lt_min,2950
variant_combo_best_effort,missing_reentry,2821
variant_combo_best_effort,volume_blocked,0
