variant,stage,count,rate_vs_prev
baseline_current,tradable_context_bars,7189,
baseline_current,raw_false_break_candidates_in_tradable,4189,0.5826957852274308
baseline_current,confirmed_events_in_tradable,441,0.10527572212938649
baseline_current,executed_trades_in_tradable,244,0.5532879818594104
variant_no_warmup,tradable_context_bars,6748,
variant_no_warmup,raw_false_break_candidates_in_tradable,3900,0.5779490219324244
variant_no_warmup,confirmed_events_in_tradable,411,0.10538461538461538
variant_no_warmup,executed_trades_in_tradable,229,0.5571776155717761
variant_early_failure_global,tradable_context_bars,7189,
variant_early_failure_global,raw_false_break_candidates_in_tradable,4189,0.5826957852274308
variant_early_failure_global,confirmed_events_in_tradable,441,0.10527572212938649
variant_early_failure_global,executed_trades_in_tradable,244,0.5532879818594104
variant_early_failure_targeted,tradable_context_bars,7189,
variant_early_failure_targeted,raw_false_break_candidates_in_tradable,4189,0.5826957852274308
variant_early_failure_targeted,confirmed_events_in_tradable,441,0.10527572212938649
variant_early_failure_targeted,executed_trades_in_tradable,244,0.5532879818594104
variant_bad_width_bucket_filter,tradable_context_bars,5910,
variant_bad_width_bucket_filter,raw_false_break_candidates_in_tradable,3459,0.5852791878172589
variant_bad_width_bucket_filter,confirmed_events_in_tradable,357,0.10320901994796183
variant_bad_width_bucket_filter,executed_trades_in_tradable,194,0.5434173669467787
variant_bad_width_bucket_repair,tradable_context_bars,7189,
variant_bad_width_bucket_repair,raw_false_break_candidates_in_tradable,4189,0.5826957852274308
variant_bad_width_bucket_repair,confirmed_events_in_tradable,441,0.10527572212938649
variant_bad_width_bucket_repair,executed_trades_in_tradable,244,0.5532879818594104
variant_combo_best_effort,tradable_context_bars,5550,
variant_combo_best_effort,raw_false_break_candidates_in_tradable,3233,0.5825225225225226
variant_combo_best_effort,confirmed_events_in_tradable,332,0.10269099907206929
variant_combo_best_effort,executed_trades_in_tradable,180,0.5421686746987951
