timestamp,engine,event,side,status,reason
2019-12-21 21:00:00+00:00,boundary,entry,-1,accepted,
2019-12-22 05:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2019-12-22 07:00:00+00:00,boundary,exit,-1,closed,price_stop
2019-12-22 12:00:00+00:00,boundary,entry,1,accepted,
2019-12-22 18:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-23 00:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-23 06:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2019-12-23 12:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-23 18:00:00+00:00,boundary,exit,1,closed,time_stop_max
2019-12-23 18:00:00+00:00,boundary,entry,-1,accepted,
2019-12-24 08:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-24 10:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2019-12-24 15:00:00+00:00,boundary,entry,-1,accepted,
2019-12-24 21:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-25 05:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2019-12-25 11:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2019-12-25 19:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-25 21:00:00+00:00,boundary,exit,-1,closed,time_stop_max
2019-12-26 03:00:00+00:00,boundary,entry,-1,accepted,
2019-12-26 10:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-26 16:00:00+00:00,boundary,exit,-1,closed,price_stop
2019-12-26 16:00:00+00:00,boundary,entry,1,accepted,
2019-12-26 19:00:00+00:00,boundary,exit,1,closed,price_stop
2019-12-27 01:00:00+00:00,boundary,entry,1,accepted,
2019-12-27 09:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2019-12-27 11:00:00+00:00,boundary,exit,1,closed,price_stop
2019-12-27 11:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2019-12-27 16:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2019-12-27 22:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2019-12-28 05:00:00+00:00,boundary,entry,1,accepted,
2019-12-28 08:00:00+00:00,boundary,exit,1,closed,price_stop
2019-12-28 12:00:00+00:00,boundary,entry,-1,accepted,
2019-12-28 18:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-29 01:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2019-12-29 05:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2019-12-29 08:00:00+00:00,boundary,entry,1,accepted,
2019-12-29 17:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-30 00:00:00+00:00,boundary,exit,1,closed,time_stop_early
2019-12-30 00:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2019-12-30 00:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2019-12-30 06:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2019-12-30 13:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2019-12-30 20:00:00+00:00,boundary,entry,1,accepted,
2019-12-31 00:00:00+00:00,boundary,exit,1,closed,price_stop
2019-12-31 03:00:00+00:00,boundary,entry,-1,accepted,
2019-12-31 12:00:00+00:00,boundary,entry,1,blocked,position_overlap
2019-12-31 14:00:00+00:00,boundary,exit,-1,closed,price_stop
2019-12-31 21:00:00+00:00,boundary,entry,1,accepted,
2020-01-01 07:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2020-01-01 14:00:00+00:00,boundary,entry,1,blocked,position_overlap
2020-01-01 21:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2020-01-02 02:00:00+00:00,boundary,exit,1,closed,time_stop_early
2020-01-02 02:00:00+00:00,boundary,circuit,0,pause,loss_streak_trigger
2020-01-02 03:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2020-01-02 09:00:00+00:00,boundary,entry,1,blocked,circuit_pause
2020-01-02 15:00:00+00:00,boundary,entry,-1,blocked,circuit_pause
2020-01-02 21:00:00+00:00,boundary,entry,1,accepted,
2020-01-03 01:00:00+00:00,boundary,exit,1,closed,price_stop
2020-01-03 04:00:00+00:00,boundary,entry,1,blocked,risk_side_cooldown
2020-01-03 12:00:00+00:00,boundary,entry,-1,accepted,
2020-01-03 21:00:00+00:00,boundary,entry,-1,blocked,position_overlap
2020-01-04 03:00:00+00:00,boundary,entry,1,blocked,position_overlap
2020-01-04 04:00:00+00:00,boundary,exit,-1,closed,time_stop_early
2020-01-04 09:00:00+00:00,boundary,entry,1,accepted,
2020-01-04 15:00:00+00:00,boundary,entry,1,blocked,position_overlap
