timestamp,engine,event,side,status,reason
2019-12-21 21:00:00+00:00,false_break,entry,-1,accepted,
2019-12-22 07:00:00+00:00,false_break,exit,-1,closed,price_stop
2019-12-22 08:00:00+00:00,false_break,entry,-1,blocked,risk_side_cooldown
2019-12-22 13:00:00+00:00,false_break,entry,-1,accepted,
2019-12-22 16:00:00+00:00,false_break,exit,-1,closed,price_stop
2019-12-23 17:00:00+00:00,false_break,entry,-1,accepted,
2019-12-24 10:00:00+00:00,false_break,exit,-1,closed,time_stop_early
2019-12-26 19:00:00+00:00,false_break,entry,-1,accepted,
2019-12-26 23:00:00+00:00,false_break,entry,1,blocked,position_overlap
2019-12-27 10:00:00+00:00,false_break,entry,1,blocked,position_overlap
2019-12-27 16:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2019-12-27 22:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2019-12-28 00:00:00+00:00,false_break,exit,-1,closed,time_stop_early
2019-12-30 13:00:00+00:00,false_break,entry,1,accepted,
2019-12-30 15:00:00+00:00,false_break,exit,1,closed,price_stop
2020-01-01 12:00:00+00:00,false_break,entry,1,accepted,
2020-01-02 02:00:00+00:00,false_break,exit,1,closed,price_stop
2020-01-02 02:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2020-01-03 14:00:00+00:00,false_break,entry,-1,accepted,
2020-01-03 16:00:00+00:00,false_break,exit,-1,closed,price_stop
2020-01-04 10:00:00+00:00,false_break,entry,-1,accepted,
2020-01-04 18:00:00+00:00,false_break,entry,-1,blocked,position_overlap
2020-01-05 01:00:00+00:00,false_break,exit,-1,closed,price_stop
2020-01-08 16:00:00+00:00,false_break,entry,-1,accepted,
2020-01-09 22:00:00+00:00,false_break,exit,-1,closed,time_stop_max
2020-03-07 12:00:00+00:00,false_break,entry,-1,accepted,
2020-03-07 16:00:00+00:00,false_break,exit,-1,closed,price_stop
2020-03-07 16:00:00+00:00,false_break,entry,-1,blocked,risk_side_cooldown
2020-07-03 20:00:00+00:00,false_break,entry,1,accepted,
2020-07-04 12:00:00+00:00,false_break,exit,1,closed,time_stop_early
2020-07-05 05:00:00+00:00,false_break,entry,1,accepted,
2020-07-05 07:00:00+00:00,false_break,exit,1,closed,price_stop
2020-07-05 07:00:00+00:00,false_break,circuit,0,pause,loss_streak_trigger
2020-07-05 22:00:00+00:00,false_break,entry,1,blocked,circuit_pause
2020-07-06 02:00:00+00:00,false_break,entry,-1,accepted,
2020-07-06 06:00:00+00:00,false_break,exit,-1,closed,price_stop
2020-09-13 11:00:00+00:00,false_break,entry,-1,accepted,
2020-09-13 19:00:00+00:00,false_break,entry,1,blocked,position_overlap
2020-09-14 01:00:00+00:00,false_break,entry,1,blocked,position_overlap
2020-09-14 03:00:00+00:00,false_break,exit,-1,closed,time_stop_early
2020-09-14 08:00:00+00:00,false_break,entry,-1,accepted,
2020-09-14 11:00:00+00:00,false_break,exit,-1,closed,price_stop
