engine,entry_time,exit_time,side,entry_price,exit_price,hold_bars,gross_return,exit_reason,entry_confidence,entry_base_confirms,entry_box_width_pct,entry_warmup,take_profit_target,early_favorable_excursion,early_adverse_excursion,net_return,weighted_return
false_break,2019-12-21 21:00:00+00:00,2019-12-22 07:00:00+00:00,-1,7133.1,7162.766,10,-0.004158921086203637,price_stop,0.9622467218702546,4.0,0.00795843789282841,True,,0.0010514362619338247,0.010850822223156698,-0.005758921086203637,-0.005758921086203637
boundary,2019-12-21 21:00:00+00:00,2019-12-22 07:00:00+00:00,-1,7133.1,7162.766,10,-0.004158921086203637,price_stop,0.9622467218702546,4.0,0.00795843789282841,True,,0.0010514362619338247,0.010850822223156698,-0.005758921086203637,-0.0
false_break,2019-12-22 13:00:00+00:00,2019-12-22 16:00:00+00:00,-1,7167.5,7202.385714285714,3,-0.004867208131944745,price_stop,0.49069462231191174,2.0,0.006595279618649102,True,,0.0011859086152773424,0.016309731426578322,-0.0064672081319447445,-0.0064672081319447445
boundary,2019-12-22 12:00:00+00:00,2019-12-23 18:00:00+00:00,1,7165.0,7391.3,30,0.03158408932309853,time_stop_max,0.7367943011553137,0.0,0.006988602000465279,True,,0.07702721563154213,0.0014654570830425762,0.02998408932309853,0.0
false_break,2019-12-23 17:00:00+00:00,2019-12-24 10:00:00+00:00,-1,7395.0,7393.9,17,0.00014874915483442663,time_stop_early,0.6176528116681517,3.0,0.039530876718503506,True,,0.02597701149425291,0.008343475321162863,-0.0014512508451655734,-0.0014512508451655734
boundary,2019-12-23 18:00:00+00:00,2019-12-24 10:00:00+00:00,-1,7391.3,7393.9,16,-0.0003517649128028655,time_stop_early,0.6156503956013213,0.0,0.04517010990398621,True,,0.025489426758486422,0.005655297444292717,-0.0019517649128028656,-0.0
boundary,2019-12-24 15:00:00+00:00,2019-12-25 21:00:00+00:00,-1,7278.1,7215.6,30,0.008587406053777724,time_stop_max,0.633324126132788,0.0,0.04335369121061819,True,,0.02148912490897359,0.008587406053777835,0.006987406053777724,0.0
boundary,2019-12-26 03:00:00+00:00,2019-12-26 08:00:00+00:00,-1,7185.1,7224.0,5,-0.005413981712154348,early_failure,0.6227626200603833,0.0,0.02185645757655879,True,,0.0007654729927210058,0.007084104605363795,-0.0070139817121543475,-0.0
boundary,2019-12-26 10:00:00+00:00,2019-12-27 04:00:00+00:00,1,7218.3,7195.3,18,-0.003186345815496705,time_stop_early,0.6183915426821867,0.0,0.017578642709040183,True,,0.029840821245999738,0.008409182217419597,-0.004786345815496705,-0.0
boundary,2019-12-27 09:00:00+00:00,2019-12-27 13:00:00+00:00,-1,7190.9,7240.411999999998,4,-0.0068853690080517005,price_stop,0.7379365077265171,0.0,0.011432041422724002,True,,0.01444881725514191,0.008914044139120225,-0.008485369008051701,-0.0
false_break,2019-12-26 19:00:00+00:00,2019-12-28 00:00:00+00:00,-1,7304.2,7308.0,29,-0.0005202486240794002,time_stop_early,0.4899819732678288,2.0,0.016062448089227258,True,,0.02973631609211136,0.0033953068097807293,-0.0021202486240794,-0.0021202486240794
boundary,2019-12-28 05:00:00+00:00,2019-12-28 08:00:00+00:00,1,7315.0,7269.4400000000005,3,-0.006228298017771583,price_stop,0.7370017266728193,0.0,0.009945089997721406,True,,0.004647983595352123,0.006602870813397166,-0.007828298017771584,-0.0
boundary,2019-12-28 12:00:00+00:00,2019-12-28 15:00:00+00:00,-1,7306.1,7307.1,3,-0.00013687192893607758,early_failure,0.7330558737243738,0.0,0.015142597737963361,True,,0.0025047562995305084,0.007240525040719259,-0.0017368719289360777,-0.0
boundary,2019-12-28 18:00:00+00:00,2019-12-29 00:00:00+00:00,1,7342.0,7306.9,6,-0.004780713701988626,early_failure,0.62225729830539,0.0,0.016914896031962397,True,,0.0014982293652956447,0.006251702533369596,-0.006380713701988626,-0.0
boundary,2019-12-29 17:00:00+00:00,2019-12-30 00:00:00+00:00,1,7408.5,7337.043,7,-0.009645272322332477,price_stop,0.6223912309231405,0.0,0.015701221569818482,True,,0.01904569076061291,0.012647634473915037,-0.011245272322332477,-0.0
boundary,2019-12-30 00:00:00+00:00,2019-12-30 06:00:00+00:00,-1,7339.0,7381.7,6,-0.005818231366671256,early_failure,0.627245204425843,2.0,0.016227687695871407,True,,0.0007766725711949585,0.006567652268701485,-0.007418231366671256,-0.0
boundary,2019-12-30 06:00:00+00:00,2019-12-30 09:00:00+00:00,1,7381.7,7332.774499999999,3,-0.00662794478236739,price_stop,0.6244252561749557,0.0,0.014066430045472795,True,,0.003048078355934347,0.007383123128818614,-0.00822794478236739,-0.0
false_break,2019-12-30 13:00:00+00:00,2019-12-30 15:00:00+00:00,1,7314.6,7271.398,2,-0.005906269652475871,price_stop,0.7313941623953178,3.0,0.009928089027424711,True,,0.0025428594865064547,0.0073414814207203305,-0.0075062696524758705,-0.0075062696524758705
boundary,2019-12-31 03:00:00+00:00,2019-12-31 14:00:00+00:00,-1,7239.4,7313.480249999999,11,-0.01023292676188614,price_stop,0.742523943077011,0.0,0.0119112081111695,True,,0.0029422327817221205,0.010843440064093768,-0.011832926761886142,-0.0
false_break,2020-01-01 12:00:00+00:00,2020-01-02 02:00:00+00:00,1,7222.9,7182.728249999999,14,-0.005561720361627609,price_stop,0.6289681529714726,3.0,0.016893895342129196,True,,0.00444419831369669,0.010092898974096265,-0.007161720361627609,-0.007161720361627609
boundary,2019-12-31 21:00:00+00:00,2020-01-02 02:00:00+00:00,1,7184.4,7169.5,29,-0.0020739379767272803,time_stop_early,0.6269517165891749,0.0,0.018669269528422638,True,,0.009826847057513577,0.004788152107343624,-0.00367393797672728,-0.0
boundary,2020-01-02 03:00:00+00:00,2020-01-02 10:00:00+00:00,-1,7129.2,7174.15025,7,-0.006305090332716201,price_stop,0.6129600222782532,0.0,0.00913292047728587,True,,0.0026931493014643593,0.007125624193457858,-0.007905090332716202,-0.0
false_break,2020-01-03 14:00:00+00:00,2020-01-03 16:00:00+00:00,-1,7255.4,7366.887,2,-0.01536607216693775,price_stop,0.49645164164741673,2.0,0.024447537925774872,True,,0.0,0.021363398296441183,-0.01696607216693775,-0.01696607216693775
boundary,2020-01-03 04:00:00+00:00,2020-01-04 10:00:00+00:00,1,7206.9,7318.9,30,0.015540662420735707,time_stop_max,0.8277288224755048,2.0,0.021486411170776216,True,,0.028236828594818908,0.005675116901857846,0.013940662420735706,0.0
false_break,2020-01-04 10:00:00+00:00,2020-01-05 01:00:00+00:00,-1,7318.9,7422.147500000001,15,-0.014106969626583421,price_stop,0.624880322317704,3.0,0.03030675146993855,True,,0.005875199825110311,0.02295426908415199,-0.015706969626583422,-0.015706969626583422
boundary,2020-01-04 15:00:00+00:00,2020-01-05 21:00:00+00:00,1,7319.9,7369.1,30,0.0067214032978593075,time_stop_max,0.6293300159639346,0.0,0.02722185412369028,True,,0.02408502848399574,0.006011011079386286,0.005121403297859308,0.0
boundary,2020-01-05 21:00:00+00:00,2020-01-06 02:00:00+00:00,-1,7369.1,7445.988750000001,5,-0.01043394037263723,price_stop,0.6125035649692577,0.0,0.019302334522985614,True,,0.00844065082574541,0.026583979047644757,-0.01203394037263723,-0.0
boundary,2020-01-06 06:00:00+00:00,2020-01-06 10:00:00+00:00,-1,7517.0,7561.3,4,-0.005893308500731775,early_failure,0.620946983292568,0.0,0.021270287348676465,True,,0.0011174670746307847,0.007941998137554807,-0.007493308500731775,-0.0
boundary,2020-01-06 12:00:00+00:00,2020-01-07 18:00:00+00:00,1,7554.7,8039.6,30,0.06418520920751325,time_stop_max,0.6231956868313138,0.0,0.02246895972043895,True,,0.07509232663110388,0.00724052576541756,0.06258520920751325,0.0
