variant,context_bucket,raw_candidates,event_survivors,confirm_survivors,execution_survivors,final_trades,event_capture_rate,confirm_capture_rate,execution_capture_rate,trade_capture_rate
baseline_master_current,elite,208,27,20,14,9,0.12980769230769232,0.7407407407407407,0.7,0.04326923076923077
baseline_master_current,standard,2941,372,252,135,82,0.12648758925535533,0.6774193548387096,0.5357142857142857,0.02788167290037402
baseline_master_current,strong,84,13,11,8,5,0.15476190476190477,0.8461538461538461,0.7272727272727273,0.05952380952380952
variant_capture_audit_only,elite,208,27,20,14,9,0.12980769230769232,0.7407407407407407,0.7,0.04326923076923077
variant_capture_audit_only,standard,2941,372,252,135,82,0.12648758925535533,0.6774193548387096,0.5357142857142857,0.02788167290037402
variant_capture_audit_only,strong,84,13,11,8,5,0.15476190476190477,0.8461538461538461,0.7272727272727273,0.05952380952380952
variant_near_miss_recovery_1,elite,208,27,20,14,9,0.12980769230769232,0.7407407407407407,0.7,0.04326923076923077
variant_near_miss_recovery_1,standard,2941,372,252,153,88,0.12648758925535533,0.6774193548387096,0.6071428571428571,0.029921795307718463
variant_near_miss_recovery_1,strong,84,13,11,8,5,0.15476190476190477,0.8461538461538461,0.7272727272727273,0.05952380952380952
variant_near_miss_recovery_2,elite,208,27,20,14,9,0.12980769230769232,0.7407407407407407,0.7,0.04326923076923077
variant_near_miss_recovery_2,standard,2941,372,252,135,82,0.12648758925535533,0.6774193548387096,0.5357142857142857,0.02788167290037402
variant_near_miss_recovery_2,strong,84,13,11,8,5,0.15476190476190477,0.8461538461538461,0.7272727272727273,0.05952380952380952
variant_soft_confirm_strong_context,elite,208,27,20,14,9,0.12980769230769232,0.7407407407407407,0.7,0.04326923076923077
variant_soft_confirm_strong_context,standard,2941,372,252,135,82,0.12648758925535533,0.6774193548387096,0.5357142857142857,0.02788167290037402
variant_soft_confirm_strong_context,strong,84,13,11,8,5,0.15476190476190477,0.8461538461538461,0.7272727272727273,0.05952380952380952
variant_best_effort_capture_recovery,elite,208,27,20,14,9,0.12980769230769232,0.7407407407407407,0.7,0.04326923076923077
variant_best_effort_capture_recovery,standard,2941,372,252,153,88,0.12648758925535533,0.6774193548387096,0.6071428571428571,0.029921795307718463
variant_best_effort_capture_recovery,strong,84,13,11,8,5,0.15476190476190477,0.8461538461538461,0.7272727272727273,0.05952380952380952
