variant,semantics,layer,reason,reason_hits
baseline_master_current,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,event_confidence_low,84
baseline_master_current,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,overlap_open_position,44
baseline_master_current,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,side_cooldown,29
baseline_master_current,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,opposite_overlap_blocked,8
baseline_master_current,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,post_execution,risk_dropped_after_execution,61
variant_capture_audit_only,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,event_confidence_low,84
variant_capture_audit_only,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,overlap_open_position,44
variant_capture_audit_only,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,side_cooldown,29
variant_capture_audit_only,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,opposite_overlap_blocked,8
variant_capture_audit_only,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,post_execution,risk_dropped_after_execution,61
variant_near_miss_recovery_1,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,event_confidence_low,65
variant_near_miss_recovery_1,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,overlap_open_position,46
variant_near_miss_recovery_1,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,side_cooldown,31
variant_near_miss_recovery_1,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,opposite_overlap_blocked,8
variant_near_miss_recovery_1,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,post_execution,risk_dropped_after_execution,73
variant_near_miss_recovery_2,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,event_confidence_low,84
variant_near_miss_recovery_2,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,overlap_open_position,44
variant_near_miss_recovery_2,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,side_cooldown,29
variant_near_miss_recovery_2,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,opposite_overlap_blocked,8
variant_near_miss_recovery_2,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,post_execution,risk_dropped_after_execution,61
variant_soft_confirm_strong_context,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,event_confidence_low,84
variant_soft_confirm_strong_context,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,overlap_open_position,44
variant_soft_confirm_strong_context,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,side_cooldown,29
variant_soft_confirm_strong_context,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,opposite_overlap_blocked,8
variant_soft_confirm_strong_context,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,post_execution,risk_dropped_after_execution,61
variant_best_effort_capture_recovery,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,event_confidence_low,65
variant_best_effort_capture_recovery,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,overlap_open_position,46
variant_best_effort_capture_recovery,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,side_cooldown,31
variant_best_effort_capture_recovery,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,execution,opposite_overlap_blocked,8
variant_best_effort_capture_recovery,These counts are overlapping reason hits and should not be interpreted as mutually exclusive blocker totals.,post_execution,risk_dropped_after_execution,73
