variant,entry_time,side,net_return,exit_reason,hold_bars,capture_recovery_used,capture_recovery_reason,baseline_stage,baseline_good_mid_before_stop,baseline_good_opp_before_stop,baseline_blocked_reason,baseline_reward_to_cost_ratio,baseline_reentry_strength,baseline_event_base_confirms
variant_near_miss_recovery_1,2020-07-10 15:00:00+00:00,1,-0.0048358256766554,time_stop_early,18,True,exec_conf_low,execution_missed,True,False,event_confidence_low,3.554825736177547,0.3777103529934045,2.0
variant_near_miss_recovery_1,2020-09-16 00:00:00+00:00,-1,-0.020585260770975,price_stop,7,True,exec_conf_low,not_in_baseline_candidates,False,False,,,,
variant_near_miss_recovery_1,2022-04-24 03:00:00+00:00,1,-0.0114261935289237,price_stop,10,True,exec_conf_low,not_in_baseline_candidates,False,False,,,,
variant_near_miss_recovery_1,2022-04-24 18:00:00+00:00,1,-0.011301577744737,price_stop,6,False,,not_in_baseline_candidates,False,False,,,,
variant_near_miss_recovery_1,2022-11-23 13:00:00+00:00,-1,-0.0201744671118837,price_stop,6,True,exec_conf_low,execution_missed,False,False,event_confidence_low,7.871844791571338,0.2840421313560528,2.0
variant_near_miss_recovery_1,2023-05-12 21:00:00+00:00,1,-0.0017645044304035,time_stop_early,27,True,exec_conf_low,not_in_baseline_candidates,False,False,,,,
variant_near_miss_recovery_1,2023-05-17 16:00:00+00:00,1,-0.0107388813522785,price_stop,25,True,exec_conf_low,execution_missed,True,True,event_confidence_low,4.017508565409278,0.2672953171598856,2.0
variant_near_miss_recovery_1,2023-05-18 21:00:00+00:00,1,-0.003390829614823,time_stop_early,16,False,,risk_dropped,True,False,nan,4.095663554388035,0.3018077455961139,2.0
variant_near_miss_recovery_1,2023-08-31 11:00:00+00:00,-1,0.0650759450184407,time_stop_max,30,True,exec_conf_low,execution_missed,True,True,event_confidence_low,7.447269814469664,0.2932507363310314,2.0
variant_near_miss_recovery_1,2024-06-26 17:00:00+00:00,1,-0.0114754838214673,price_stop,13,True,exec_conf_low,execution_missed,True,True,event_confidence_low,3.729142553815512,0.367679115150389,2.0
variant_near_miss_recovery_1,2024-08-22 02:00:00+00:00,-1,-0.0200501061130066,price_stop,8,True,exec_conf_low,execution_missed,False,False,event_confidence_low,3.915055097883785,0.6272554586322386,2.0
variant_near_miss_recovery_1,2024-08-23 11:00:00+00:00,-1,-0.0164000118545641,price_stop,3,True,exec_conf_low,not_in_baseline_candidates,False,False,,,,
variant_near_miss_recovery_1,2024-09-12 21:00:00+00:00,-1,-0.0036405943619516,time_stop_early,16,True,exec_conf_low,execution_missed,False,False,event_confidence_low,5.680258544341552,0.2561885384876218,2.0
variant_near_miss_recovery_1,2025-01-10 15:00:00+00:00,1,0.0111301159940349,time_stop_max,30,True,exec_conf_low,execution_missed,True,True,event_confidence_low,4.53903259323235,0.4391308235530658,2.0
variant_near_miss_recovery_1,2025-02-23 23:00:00+00:00,1,-0.0069789261447977,price_stop,4,True,exec_conf_low,execution_missed,False,False,event_confidence_low,3.635577145146285,0.3080343397668156,2.0
variant_near_miss_recovery_1,2025-02-24 11:00:00+00:00,1,-0.0080072241022047,price_stop,3,False,,risk_dropped,False,False,nan,2.07937123899965,0.2318359873026975,4.0
variant_near_miss_recovery_1,2025-06-23 05:00:00+00:00,1,-0.013176730745785,price_stop,11,True,exec_conf_low,execution_missed,False,False,event_confidence_low,4.279891827569104,0.3067080460675924,2.0
variant_near_miss_recovery_1,2025-08-27 14:00:00+00:00,-1,-0.0120801227469255,price_stop,14,True,exec_conf_low,execution_missed,False,False,event_confidence_low,3.600259531199995,0.4516602078039111,2.0
variant_near_miss_recovery_1,2025-11-13 05:00:00+00:00,1,-0.0204551373088378,price_stop,10,True,exec_conf_low,execution_missed,False,False,event_confidence_low,6.988594585710106,0.3735471499079471,2.0
variant_near_miss_recovery_1,2025-11-29 18:00:00+00:00,1,-0.0052800841918542,time_stop_early,29,False,,risk_dropped,True,True,nan,2.145606890303076,0.1976490607630462,2.0
variant_best_effort_capture_recovery,2020-07-10 15:00:00+00:00,1,-0.0048358256766554,time_stop_early,18,True,exec_conf_low,execution_missed,True,False,event_confidence_low,3.554825736177547,0.3777103529934045,2.0
variant_best_effort_capture_recovery,2020-09-16 00:00:00+00:00,-1,-0.020585260770975,price_stop,7,True,exec_conf_low,not_in_baseline_candidates,False,False,,,,
variant_best_effort_capture_recovery,2022-04-24 03:00:00+00:00,1,-0.0114261935289237,price_stop,10,True,exec_conf_low,not_in_baseline_candidates,False,False,,,,
variant_best_effort_capture_recovery,2022-04-24 18:00:00+00:00,1,-0.011301577744737,price_stop,6,False,,not_in_baseline_candidates,False,False,,,,
