segment_id,start,end,bars,tradable_window_count,trade_count,win_count,loss_count,price_stop_count,time_stop_max_count,time_stop_early_count,state_stop_count
segment_001,2020-02-26 23:00:00+00:00,2020-02-28 23:00:00+00:00,49,1,0,0,0,0,0,0,0
segment_002,2020-03-05 15:00:00+00:00,2020-03-10 07:00:00+00:00,113,64,1,0,1,1,0,0,0
segment_003,2020-06-26 22:00:00+00:00,2020-06-29 07:00:00+00:00,58,10,0,0,0,0,0,0,0
segment_004,2020-06-30 22:00:00+00:00,2020-07-12 12:00:00+00:00,279,78,2,1,1,1,1,0,0
segment_005,2020-09-02 16:00:00+00:00,2020-09-05 11:00:00+00:00,68,16,0,0,0,0,0,0,0
segment_006,2020-09-12 17:00:00+00:00,2020-10-04 11:00:00+00:00,523,283,4,1,3,1,1,2,0
segment_007,2021-03-22 05:00:00+00:00,2021-03-24 11:00:00+00:00,55,4,0,0,0,0,0,0,0
segment_008,2021-05-09 14:00:00+00:00,2021-05-14 03:00:00+00:00,110,52,0,0,0,0,0,0,0
segment_009,2021-06-13 06:00:00+00:00,2021-06-15 11:00:00+00:00,54,5,0,0,0,0,0,0,0
segment_010,2021-07-05 09:00:00+00:00,2021-07-21 07:00:00+00:00,383,220,5,2,3,2,2,1,0
segment_011,2021-07-22 10:00:00+00:00,2021-07-24 12:00:00+00:00,51,2,0,0,0,0,0,0,0
segment_012,2021-09-19 02:00:00+00:00,2021-09-21 19:00:00+00:00,66,18,0,0,0,0,0,0,0
segment_013,2021-09-29 12:00:00+00:00,2021-10-02 09:00:00+00:00,70,22,0,0,0,0,0,0,0
segment_014,2021-11-29 15:00:00+00:00,2021-12-05 03:00:00+00:00,133,76,4,1,3,3,0,0,1
segment_015,2021-12-15 03:00:00+00:00,2021-12-27 03:00:00+00:00,289,152,3,1,2,2,1,0,0
segment_016,2022-01-14 08:00:00+00:00,2022-01-22 02:00:00+00:00,187,93,2,2,0,0,1,0,1
segment_017,2022-02-02 18:00:00+00:00,2022-02-06 01:00:00+00:00,80,28,0,0,0,0,0,0,0
segment_018,2022-02-17 15:00:00+00:00,2022-02-20 20:00:00+00:00,78,9,0,0,0,0,0,0,0
segment_019,2022-03-14 07:00:00+00:00,2022-03-20 07:00:00+00:00,145,70,1,1,0,0,1,0,0
segment_020,2022-04-17 08:00:00+00:00,2022-04-19 16:00:00+00:00,57,9,0,0,0,0,0,0,0
