split_type,split_label,variant,trades,win_rate,avg_return,total_return,sharpe,max_drawdown,avg_holding_bars,price_stop_count,time_stop_max_count,avg_return_per_trade
half,early_half,control,59,0.5084745762711864,0.01255818883841251,1.0298602842671802,8.031889912688861,-0.0517651487578864,20.372881355932204,19.0,27.0,0.01255818883841251
half,early_half,prior_preserve_first,58,0.5172413793103449,0.012894448077836856,1.044055940129342,8.17271162019965,-0.0517651487578864,20.517241379310345,18.0,27.0,0.012894448077836856
half,early_half,refined_preserve_variant,57,0.5263157894736842,0.013225173264469738,1.0563051185098469,8.317336649682753,-0.046082771083457374,20.596491228070175,18.0,27.0,0.013225173264469738
half,late_half,control,58,0.2413793103448276,-0.0005796833761872169,-0.04078656448932161,-0.8284397449620526,-0.14864573843274798,14.982758620689655,30.0,15.0,-0.0005796833761872169
half,late_half,prior_preserve_first,52,0.2692307692307692,0.0001405421584721465,-0.0005124124960009802,0.19248107037907425,-0.11566380352516459,14.942307692307692,28.0,15.0,0.0001405421584721465
half,late_half,refined_preserve_variant,51,0.27450980392156865,0.00023635474607629526,0.004253674827892739,0.31847968061627224,-0.11566380352516459,15.156862745098039,27.0,15.0,0.00023635474607629526
year,2020,control,7,0.2857142857142857,0.0034219147910081876,0.023130167116545808,4.104870338631461,-0.01865793219036782,17.142857142857142,3.0,2.0,0.0034219147910081876
year,2020,prior_preserve_first,7,0.2857142857142857,0.0034219147910081876,0.023130167116545808,4.104870338631461,-0.01865793219036782,17.142857142857142,3.0,2.0,0.0034219147910081876
year,2020,refined_preserve_variant,6,0.3333333333333333,0.004985048516215773,0.029261361316001766,5.564532720667282,-0.01687077253696867,17.333333333333332,3.0,2.0,0.004985048516215773
year,2021,control,12,0.3333333333333333,0.01136569580691834,0.13002988128089377,5.079563600889547,-0.04562420347737117,16.416666666666668,7.0,3.0,0.01136569580691834
year,2021,prior_preserve_first,12,0.3333333333333333,0.01136569580691834,0.13002988128089377,5.079563600889547,-0.04562420347737117,16.416666666666668,7.0,3.0,0.01136569580691834
year,2021,refined_preserve_variant,12,0.3333333333333333,0.01136569580691834,0.13002988128089377,5.079563600889547,-0.04562420347737117,16.416666666666668,7.0,3.0,0.01136569580691834
year,2022,control,28,0.6428571428571429,0.019312168805501517,0.6884989919630224,12.32981245983172,-0.018182380009909238,23.214285714285715,5.0,16.0,0.019312168805501517
year,2022,prior_preserve_first,27,0.6666666666666666,0.020284650874157113,0.7003073665586994,12.780526645292094,-0.018182380009909238,23.62962962962963,4.0,16.0,0.020284650874157113
year,2022,refined_preserve_variant,27,0.6666666666666666,0.020284650874157113,0.7003073665586994,12.780526645292094,-0.018182380009909238,23.62962962962963,4.0,16.0,0.020284650874157113
year,2023,control,26,0.34615384615384615,0.0007560381384361729,0.017652546587783036,1.377561784418175,-0.058272943182063,15.076923076923077,14.0,9.0,0.0007560381384361729
year,2023,prior_preserve_first,25,0.36,0.0012537665578533962,0.02968667218905985,2.26843503881149,-0.047136665164710934,15.24,13.0,9.0,0.0012537665578533962
year,2023,refined_preserve_variant,24,0.375,0.001503752656486431,0.03459676477776119,2.635193624282397,-0.0471366651647116,15.708333333333334,12.0,9.0,0.001503752656486431
year,2024,control,24,0.25,-0.0010810102774853753,-0.029191509715973396,-1.3748236818022703,-0.09596495565928786,16.708333333333332,11.0,7.0,-0.0010810102774853753
year,2024,prior_preserve_first,20,0.3,9.155985025001249e-06,-0.003367408621890111,0.010714862667345374,-0.0719170691695249,16.8,10.0,7.0,9.155985025001249e-06
year,2024,refined_preserve_variant,20,0.3,9.155985025001249e-06,-0.003367408621890111,0.010714862667345374,-0.0719170691695249,16.8,10.0,7.0,9.155985025001249e-06
year,2025,control,20,0.25,0.0006258140466834053,0.009547334798421625,0.8262803263323099,-0.06863194108597048,15.55,9.0,5.0,0.0006258140466834053
year,2025,prior_preserve_first,19,0.2631578947368421,0.000822714225575518,0.012702195164033592,1.0593591322143205,-0.06572139288918744,15.526315789473685,9.0,5.0,0.000822714225575518
year,2025,refined_preserve_variant,19,0.2631578947368421,0.000822714225575518,0.012702195164033592,1.0593591322143205,-0.06572139288918744,15.526315789473685,9.0,5.0,0.000822714225575518
winner_removal,remove_top_5,control,112,0.3482142857142857,0.002164686026388612,0.25270119863526963,2.763039864569222,-0.1486457384327481,,,,0.002164686026388612
winner_removal,remove_top_10,control,107,0.3177570093457944,2.190387281522103e-05,-0.00914564897516934,0.03375114365708708,-0.21014003724519337,,,,2.190387281522103e-05
winner_removal,remove_top_5,prior_preserve_first,107,0.3644859813084112,0.0026038927100888107,0.29904539726338797,3.259343334039478,-0.12601203107126402,,,,0.0026038927100888107
winner_removal,remove_top_10,prior_preserve_first,102,0.3333333333333333,0.0003776019550510471,0.027511417295268625,0.569965579099808,-0.18660723481293195,,,,0.0003776019550510471
winner_removal,remove_top_5,refined_preserve_variant,105,0.37142857142857144,0.002755421974753138,0.31306169610646584,3.409001549093229,-0.12601203107126413,,,,0.002755421974753138
winner_removal,remove_top_10,refined_preserve_variant,100,0.34,0.000492181867847836,0.03859794831244856,0.7336240793529902,-0.1827285463770041,,,,0.000492181867847836
